fips,cnty_name,st_name,contribution,year
39001,Adams County,Ohio,5668,2016
39003,Allen County,Ohio,126914,2016
39005,Ashland County,Ohio,92961,2016
39007,Ashtabula County,Ohio,53554,2016
39009,Athens County,Ohio,107200,2016
39011,Auglaize County,Ohio,39151,2016
39013,Belmont County,Ohio,102991,2016
39015,Brown County,Ohio,13882,2016
39017,Butler County,Ohio,556248,2016
39019,Carroll County,Ohio,23708,2016
39021,Champaign County,Ohio,111602,2016
39023,Clark County,Ohio,132432,2016
39025,Clermont County,Ohio,159203,2016
39027,Clinton County,Ohio,112064,2016
39029,Columbiana County,Ohio,123912,2016
39031,Coshocton County,Ohio,35921,2016
39033,Crawford County,Ohio,34875,2016
39035,Cuyahoga County,Ohio,3787316,2016
39037,Darke County,Ohio,33967,2016
39039,Defiance County,Ohio,126370,2016
39041,Delaware County,Ohio,1805811,2016
39043,Erie County,Ohio,131862,2016
39045,Fairfield County,Ohio,152656,2016
39047,Fayette County,Ohio,30380,2016
39049,Franklin County,Ohio,22339200,2016
39051,Fulton County,Ohio,18947,2016
39053,Gallia County,Ohio,54973,2016
39055,Geauga County,Ohio,261129,2016
39057,Greene County,Ohio,343060,2016
39059,Guernsey County,Ohio,78501,2016
39061,Hamilton County,Ohio,1670374,2016
39063,Hancock County,Ohio,242054,2016
39065,Hardin County,Ohio,9283,2016
39067,Harrison County,Ohio,5645,2016
39069,Henry County,Ohio,750,2016
39071,Highland County,Ohio,115,2016
39073,Hocking County,Ohio,2040,2016
39075,Holmes County,Ohio,22559,2016
39077,Huron County,Ohio,3415,2016
39079,Jackson County,Ohio,36335,2016
39081,Jefferson County,Ohio,105246,2016
39083,Knox County,Ohio,114756,2016
39085,Lake County,Ohio,10460,2016
39087,Lawrence County,Ohio,27194,2016
39089,Licking County,Ohio,137303,2016
39091,Logan County,Ohio,13874,2016
39093,Lorain County,Ohio,304647,2016
39095,Lucas County,Ohio,532766,2016
39097,Madison County,Ohio,2362,2016
39099,Mahoning County,Ohio,335040,2016
39101,Marion County,Ohio,1575,2016
39103,Medina County,Ohio,254382,2016
39105,Meigs County,Ohio,6693,2016
39107,Mercer County,Ohio,8035,2016
39109,Miami County,Ohio,32455,2016
39111,Monroe County,Ohio,16195,2016
39113,Montgomery County,Ohio,534700,2016
39115,Morgan County,Ohio,44240,2016
39117,Morrow County,Ohio,18246,2016
39119,Muskingum County,Ohio,112788,2016
39121,Noble County,Ohio,425,2016
39123,Ottawa County,Ohio,83257,2016
39125,Paulding County,Ohio,30298,2016
39127,Perry County,Ohio,8350,2016
39129,Pickaway County,Ohio,2400,2016
39131,Pike County,Ohio,11527,2016
39133,Portage County,Ohio,324026,2016
39135,Preble County,Ohio,3757,2016
39137,Putnam County,Ohio,23082,2016
39139,Richland County,Ohio,27947,2016
